"arid","sourceartistid","targetartistid","sourceartistname","targetartistname"
25,22,27,"Nicolas Jaar","DARKSIDE"
26,22,28,"Nicolas Jaar","DJ Koze"
27,22,29,"Nicolas Jaar","Burial"
28,22,30,"Nicolas Jaar","Four Tet"
33,22,35,"Nicolas Jaar","Acid Pauli"
35,22,37,"Nicolas Jaar","Nosaj Thing"
38,22,40,"Nicolas Jaar","Floating Points"
121,27,22,"DARKSIDE","Nicolas Jaar"
124,27,54,"DARKSIDE","Against All Logic"
130,27,40,"DARKSIDE","Floating Points"
136,27,30,"DARKSIDE","Four Tet"
137,27,50,"DARKSIDE","FEATHERED SUN"
140,27,29,"DARKSIDE","Burial"
161,29,106,"Burial","Zomby"
165,29,30,"Burial","Four Tet"
166,29,37,"Burial","Nosaj Thing"
169,29,40,"Burial","Floating Points"
172,29,86,"Burial","Clark"
175,29,79,"Burial","Lapalux"
178,29,81,"Burial","Machinedrum"
179,29,78,"Burial","Teebs"
181,30,29,"Four Tet","Burial"
185,30,86,"Four Tet","Clark"
186,30,37,"Four Tet","Nosaj Thing"
193,30,40,"Four Tet","Floating Points"
194,30,78,"Four Tet","Teebs"
199,30,118,"Four Tet","Squarepusher"
321,37,80,"Nosaj Thing","Shlohmo"
322,37,78,"Nosaj Thing","Teebs"
323,37,164,"Nosaj Thing","Dorian Concept"
324,37,85,"Nosaj Thing","Shigeto"
325,37,82,"Nosaj Thing","Hudson Mohawke"
327,37,165,"Nosaj Thing","Daedelus"
329,37,79,"Nosaj Thing","Lapalux"
331,37,81,"Nosaj Thing","Machinedrum"
333,37,167,"Nosaj Thing","Flying Lotus"
334,37,86,"Nosaj Thing","Clark"
337,37,169,"Nosaj Thing","TOKiMONSTA"
338,37,29,"Nosaj Thing","Burial"
339,37,170,"Nosaj Thing","Mono/Poly"
340,37,171,"Nosaj Thing","letherette"
384,40,29,"Floating Points","Burial"
392,40,81,"Floating Points","Machinedrum"
393,40,37,"Floating Points","Nosaj Thing"
394,40,78,"Floating Points","Teebs"
395,40,30,"Floating Points","Four Tet"
398,40,79,"Floating Points","Lapalux"
400,40,82,"Floating Points","Hudson Mohawke"
583,50,247,"FEATHERED SUN","Oceanvs Orientalis"
584,50,248,"FEATHERED SUN","Nicola Cruz"
593,50,35,"FEATHERED SUN","Acid Pauli"
661,54,282,"Against All Logic","Ross from Friends"
667,54,28,"Against All Logic","DJ Koze"
671,54,27,"Against All Logic","DARKSIDE"
673,54,22,"Against All Logic","Nicolas Jaar"
677,54,29,"Against All Logic","Burial"
679,54,30,"Against All Logic","Four Tet"
1141,78,80,"Teebs","Shlohmo"
1142,78,37,"Teebs","Nosaj Thing"
1143,78,85,"Teebs","Shigeto"
1144,78,402,"Teebs","Devonwho"
1145,78,79,"Teebs","Lapalux"
1146,78,164,"Teebs","Dorian Concept"
1148,78,165,"Teebs","Daedelus"
1149,78,404,"Teebs","Ras G"
1150,78,171,"Teebs","letherette"
1151,78,170,"Teebs","Mono/Poly"
1155,78,167,"Teebs","Flying Lotus"
1157,78,169,"Teebs","TOKiMONSTA"
1159,78,81,"Teebs","Machinedrum"
1161,79,80,"Lapalux","Shlohmo"
1162,79,78,"Lapalux","Teebs"
1164,79,81,"Lapalux","Machinedrum"
1165,79,409,"Lapalux","Groundislava"
1167,79,37,"Lapalux","Nosaj Thing"
1168,79,171,"Lapalux","letherette"
1169,79,85,"Lapalux","Shigeto"
1171,79,164,"Lapalux","Dorian Concept"
1174,79,169,"Lapalux","TOKiMONSTA"
1177,79,170,"Lapalux","Mono/Poly"
1178,79,410,"Lapalux","Clams Casino"
1181,80,37,"Shlohmo","Nosaj Thing"
1182,80,78,"Shlohmo","Teebs"
1183,80,169,"Shlohmo","TOKiMONSTA"
1184,80,409,"Shlohmo","Groundislava"
1185,80,79,"Shlohmo","Lapalux"
1188,80,170,"Shlohmo","Mono/Poly"
1189,80,85,"Shlohmo","Shigeto"
1191,80,167,"Shlohmo","Flying Lotus"
1193,80,402,"Shlohmo","Devonwho"
1195,80,164,"Shlohmo","Dorian Concept"
1196,80,410,"Shlohmo","Clams Casino"
1199,80,165,"Shlohmo","Daedelus"
1201,81,164,"Machinedrum","Dorian Concept"
1205,81,79,"Machinedrum","Lapalux"
1206,81,37,"Machinedrum","Nosaj Thing"
1207,81,78,"Machinedrum","Teebs"
1208,81,165,"Machinedrum","Daedelus"
1209,81,85,"Machinedrum","Shigeto"
1210,81,171,"Machinedrum","letherette"
1211,81,82,"Machinedrum","Hudson Mohawke"
1213,81,170,"Machinedrum","Mono/Poly"
1217,81,86,"Machinedrum","Clark"
1218,81,80,"Machinedrum","Shlohmo"
1219,81,167,"Machinedrum","Flying Lotus"
1221,82,164,"Hudson Mohawke","Dorian Concept"
1222,82,37,"Hudson Mohawke","Nosaj Thing"
1224,82,81,"Hudson Mohawke","Machinedrum"
1225,82,78,"Hudson Mohawke","Teebs"
1227,82,167,"Hudson Mohawke","Flying Lotus"
1230,82,86,"Hudson Mohawke","Clark"
1236,82,165,"Hudson Mohawke","Daedelus"
1237,82,80,"Hudson Mohawke","Shlohmo"
1240,82,79,"Hudson Mohawke","Lapalux"
1281,85,164,"Shigeto","Dorian Concept"
1283,85,78,"Shigeto","Teebs"
1284,85,37,"Shigeto","Nosaj Thing"
1287,85,80,"Shigeto","Shlohmo"
1290,85,165,"Shigeto","Daedelus"
1291,85,79,"Shigeto","Lapalux"
1292,85,81,"Shigeto","Machinedrum"
1296,85,170,"Shigeto","Mono/Poly"
1299,85,402,"Shigeto","Devonwho"
1300,85,171,"Shigeto","letherette"
1301,86,118,"Clark","Squarepusher"
1311,86,164,"Clark","Dorian Concept"
1316,86,165,"Clark","Daedelus"
1343,88,439,"SBTRKT","Jamie xx"
1348,88,79,"SBTRKT","Lapalux"
1350,88,441,"SBTRKT","Little Dragon"
1353,88,81,"SBTRKT","Machinedrum"
1354,88,29,"SBTRKT","Burial"
1356,88,37,"SBTRKT","Nosaj Thing"
1358,88,169,"SBTRKT","TOKiMONSTA"
1706,106,29,"Zomby","Burial"
1944,118,86,"Squarepusher","Clark"
2248,133,28,"Moderat","DJ Koze"
2251,133,30,"Moderat","Four Tet"
2257,133,37,"Moderat","Nosaj Thing"
2259,133,86,"Moderat","Clark"
2862,164,170,"Dorian Concept","Mono/Poly"
2865,164,37,"Dorian Concept","Nosaj Thing"
2869,164,402,"Dorian Concept","Devonwho"
2870,164,82,"Dorian Concept","Hudson Mohawke"
2871,164,85,"Dorian Concept","Shigeto"
2872,164,165,"Dorian Concept","Daedelus"
2873,164,81,"Dorian Concept","Machinedrum"
2874,164,78,"Dorian Concept","Teebs"
2877,164,86,"Dorian Concept","Clark"
2878,164,404,"Dorian Concept","Ras G"
2879,164,171,"Dorian Concept","letherette"
2884,165,164,"Daedelus","Dorian Concept"
2886,165,37,"Daedelus","Nosaj Thing"
2887,165,167,"Daedelus","Flying Lotus"
2888,165,78,"Daedelus","Teebs"
2889,165,404,"Daedelus","Ras G"
2892,165,170,"Daedelus","Mono/Poly"
2893,165,830,"Daedelus","The Gaslamp Killer"
2895,165,402,"Daedelus","Devonwho"
2897,165,85,"Daedelus","Shigeto"
2898,165,86,"Daedelus","Clark"
2921,167,165,"Flying Lotus","Daedelus"
2922,167,78,"Flying Lotus","Teebs"
2923,167,37,"Flying Lotus","Nosaj Thing"
2926,167,81,"Flying Lotus","Machinedrum"
2927,167,835,"Flying Lotus","Knxwledge"
2928,167,80,"Flying Lotus","Shlohmo"
2929,167,169,"Flying Lotus","TOKiMONSTA"
2931,167,836,"Flying Lotus","Madlib"
2932,167,82,"Flying Lotus","Hudson Mohawke"
2935,167,79,"Flying Lotus","Lapalux"
2939,167,164,"Flying Lotus","Dorian Concept"
2940,167,85,"Flying Lotus","Shigeto"
2961,169,80,"TOKiMONSTA","Shlohmo"
2962,169,167,"TOKiMONSTA","Flying Lotus"
2963,169,37,"TOKiMONSTA","Nosaj Thing"
2964,169,81,"TOKiMONSTA","Machinedrum"
2965,169,78,"TOKiMONSTA","Teebs"
2966,169,171,"TOKiMONSTA","letherette"
2967,169,79,"TOKiMONSTA","Lapalux"
2968,169,170,"TOKiMONSTA","Mono/Poly"
2969,169,85,"TOKiMONSTA","Shigeto"
2971,169,165,"TOKiMONSTA","Daedelus"
2975,169,410,"TOKiMONSTA","Clams Casino"
2976,169,402,"TOKiMONSTA","Devonwho"
2978,169,404,"TOKiMONSTA","Ras G"
2980,169,409,"TOKiMONSTA","Groundislava"
2981,170,402,"Mono/Poly","Devonwho"
2982,170,844,"Mono/Poly","Dibia$E"
2984,170,404,"Mono/Poly","Ras G"
2989,170,164,"Mono/Poly","Dorian Concept"
2990,170,169,"Mono/Poly","TOKiMONSTA"
2991,170,80,"Mono/Poly","Shlohmo"
2993,170,78,"Mono/Poly","Teebs"
2996,170,171,"Mono/Poly","letherette"
2997,170,830,"Mono/Poly","The Gaslamp Killer"
2999,170,848,"Mono/Poly","Flyamsam"
3000,170,167,"Mono/Poly","Flying Lotus"
3001,171,402,"letherette","Devonwho"
3003,171,170,"letherette","Mono/Poly"
3005,171,169,"letherette","TOKiMONSTA"
3006,171,78,"letherette","Teebs"
3007,171,844,"letherette","Dibia$E"
3009,171,404,"letherette","Ras G"
3012,171,164,"letherette","Dorian Concept"
3013,171,79,"letherette","Lapalux"
3014,171,80,"letherette","Shlohmo"
3015,171,85,"letherette","Shigeto"
3018,171,81,"letherette","Machinedrum"
3019,171,165,"letherette","Daedelus"
3020,171,37,"letherette","Nosaj Thing"
3482,195,30,"Thom Yorke","Four Tet"
3483,195,29,"Thom Yorke","Burial"
3492,195,40,"Thom Yorke","Floating Points"
3493,195,167,"Thom Yorke","Flying Lotus"
