"id","spotifyid","name","highlighted"
22,"5a0etAzO5V26gvlbmHzT9W","Nicolas Jaar",True
27,"2933wDUojoQmvqSdTAE5NB","DARKSIDE",True
28,"1kR99O4MgSTasyeJh8UFCg","DJ Koze",True
29,"0uCCBpmg6MrPb1KY2msceF","Burial",True
30,"7Eu1txygG6nJttLHbZdQOh","Four Tet",True
35,"3LHqODf1hGAgZ5LTw1Gf4C","Acid Pauli",True
37,"0IVapwlnM3dEOiMsHXsghT","Nosaj Thing",True
40,"2AR42Ur9PcchQDtEdwkv4L","Floating Points",True
50,"7bfe7ceWNJ3OjzmnzcMpdu","FEATHERED SUN",True
54,"0ngUeF0DGpYmPec80MqSi1","Against All Logic",True
71,"49gaZqfow2v8EEQmjGyEIw","Todd Terje",True
78,"2L2unNFaPbDxjg3NqzpqhJ","Teebs",True
79,"46Ce0QmI1mE2bl5VQ4P9N8","Lapalux",True
80,"6y80I9YZi4DOpbaSUlL725","Shlohmo",True
81,"06xa1OLBsMQJFXcl2tQkH4","Machinedrum",True
82,"6olWbKW2VLhFCHfOi0iEDb","Hudson Mohawke",True
85,"48C2RLG6w7o4jAJjCJKZM8","Shigeto",True
86,"6kic5bCjlohhDn9KzXbOta","Clark",True
88,"1O10apSOoAPjOu6UhUNmeI","SBTRKT",True
106,"0e1hn6R8UCfLkpHINwAyXR","Zomby",True
118,"4mtHSXwIHihO6MWNq5Qoko","Squarepusher",True
133,"2exkZbmNqMKnT8LRWuxWgy","Moderat",True
164,"2sriRQRt36DnfHtD68zZlj","Dorian Concept",True
165,"1YRGQOk4Mk9EpM6nTJhXtK","Daedelus",True
167,"29XOeO6KIWxGthejQqn793","Flying Lotus",True
169,"3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA",True
170,"0rKc6ImQCM6pmYrQj5zcra","Mono/Poly",True
171,"1fQDzf4lnUF4DYngrLJH0m","letherette",True
195,"4CvTDPKA6W06DRfBnZKrau","Thom Yorke",True
227,"6TshTCYwh9ySzOO6Jy4Ux2","Maya Jane Coles",True
229,"6vJvFV1A2CpT8s5B1oUN6t","DJ Tennis",True
247,"3gNEIgLeknpwkNViU8WAhg","Oceanvs Orientalis",True
248,"0OltT51j3hIkgaDJqqPzDn","Nicola Cruz",True
261,"2nq2BeSbzExGAv3Y4HgUf7","Stephan Bodzin",True
281,"5nri3hyKmKBGAfvjBi0mK0","Satori",True
282,"1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends",True
377,"5zS8r5hRRk1jzD41yYS1NO","Baths",True
402,"2GqaakAnuhfpY4drbXrEmL","Devonwho",True
